,Rank,Date
BOS,13,Nov-13-21
ANA,21,Nov-13-21
ARI,32,Nov-13-21
BUF,24,Nov-13-21
CAR,1,Nov-13-21
CHI,28,Nov-13-21
CGY,11,Nov-13-21
DAL,26,Nov-13-21
COL,16,Nov-13-21
EDM,3,Nov-13-21
NJD,20,Nov-13-21
NYI,15,Nov-13-21
CBJ,19,Nov-13-21
NYR,12,Nov-13-21
FLA,2,Nov-13-21
MIN,7,Nov-13-21
LAK,14,Nov-13-21
OTT,29,Nov-13-21
DET,23,Nov-13-21
MTL,27,Nov-13-21
PHI,8,Nov-13-21
NSH,22,Nov-13-21
PIT,25,Nov-13-21
SJS,18,Nov-13-21
STL,5,Nov-13-21
TBL,6,Nov-13-21
SEA,31,Nov-13-21
WPG,10,Nov-13-21
VAN,30,Nov-13-21
VGK,17,Nov-13-21
WSH,9,Nov-13-21
TOR,4,Nov-13-21
